Id,OverallQual,YearBuilt,YearRemodAdd,ExterQual,ExterCond,BsmtQual,TotalBsmtSF,stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
1,7,2003,2003,Gd,TA,Gd,856,856,1710,2,Gd,8,0,2003,2,548,2008,208500
2,6,1976,1976,TA,TA,Gd,1262,1262,1262,2,TA,6,1,1976,2,460,2007,181500
3,7,2001,2002,Gd,TA,Gd,920,920,1786,2,Gd,6,1,2001,2,608,2008,223500
4,7,1915,1970,TA,TA,TA,756,961,1717,1,Gd,7,1,1998,3,642,2006,140000
5,8,2000,2000,Gd,TA,Gd,1145,1145,2198,2,Gd,9,1,2000,3,836,2008,250000
6,5,1993,1995,TA,TA,Gd,796,796,1362,1,TA,5,0,1993,2,480,2009,143000
7,8,2004,2005,Gd,TA,Ex,1686,1694,1694,2,Gd,7,1,2004,2,636,2007,307000
8,7,1973,1973,TA,TA,Gd,1107,1107,2090,2,TA,7,2,1973,2,484,2009,200000
9,7,1931,1950,TA,TA,TA,952,1022,1774,2,TA,8,2,1931,2,468,2008,129900
10,5,1939,1950,TA,TA,TA,991,1077,1077,1,TA,5,2,1939,1,205,2008,118000
11,5,1965,1965,TA,TA,TA,1040,1040,1040,1,TA,5,0,1965,1,384,2008,129500
12,9,2005,2006,Ex,TA,Ex,1175,1182,2324,3,Ex,11,2,2005,3,736,2006,345000
13,5,1962,1962,TA,TA,TA,912,912,912,1,TA,4,0,1962,1,352,2008,144000
14,7,2006,2007,Gd,TA,Gd,1494,1494,1494,2,Gd,7,1,2006,3,840,2007,279500
15,6,1960,1960,TA,TA,TA,1253,1253,1253,1,TA,5,1,1960,1,352,2008,157000
16,7,1929,2001,TA,TA,TA,832,854,854,1,TA,5,0,1991,2,576,2007,132000
17,6,1970,1970,TA,TA,TA,1004,1004,1004,1,TA,5,1,1970,2,480,2010,149000
18,4,1967,1967,TA,TA,NA,0,1296,1296,2,TA,6,0,1967,2,516,2006,90000
19,5,2004,2004,TA,TA,TA,1114,1114,1114,1,Gd,6,0,2004,2,576,2008,159000
20,5,1958,1965,TA,TA,TA,1029,1339,1339,1,TA,6,0,1958,1,294,2009,139000
21,8,2005,2006,Gd,TA,Ex,1158,1158,2376,3,Gd,9,1,2005,3,853,2006,325300
22,7,1930,1950,TA,TA,TA,637,1108,1108,1,Gd,6,1,1930,1,280,2007,139400
23,8,2002,2002,Gd,TA,Gd,1777,1795,1795,2,Gd,7,1,2002,2,534,2008,230000
24,5,1976,1976,TA,TA,Gd,1040,1060,1060,1,TA,6,1,1976,2,572,2007,129900
25,5,1968,2001,TA,Gd,TA,1060,1060,1060,1,Gd,6,1,1968,1,270,2010,154000
26,8,2007,2007,Gd,TA,Gd,1566,1600,1600,2,Gd,7,1,2007,3,890,2009,256300
27,5,1951,2000,TA,TA,TA,900,900,900,1,Gd,5,0,2005,2,576,2010,134800
28,8,2007,2008,Gd,TA,Ex,1704,1704,1704,2,Gd,7,1,2008,3,772,2010,306000
29,5,1957,1997,TA,TA,TA,1484,1600,1600,1,TA,6,2,1957,1,319,2006,207500
30,4,1927,1950,TA,TA,TA,520,520,520,1,Fa,4,0,1920,1,240,2008,68500
31,4,1920,1950,TA,Fa,TA,649,649,1317,1,TA,6,0,1920,1,250,2008,40000
32,5,1966,2006,TA,TA,TA,1228,1228,1228,1,Gd,6,0,1966,1,271,2008,149350
33,8,2007,2007,Gd,TA,Ex,1234,1234,1234,2,Gd,7,0,2007,2,484,2008,179900
34,5,1959,1959,TA,TA,TA,1398,1700,1700,1,Gd,6,1,1959,2,447,2010,165500
35,9,2005,2005,Ex,TA,Ex,1561,1561,1561,2,Ex,6,1,2005,2,556,2007,277500
36,8,2004,2005,Gd,TA,Ex,1117,1132,2452,3,Gd,9,1,2004,3,691,2006,309000
37,5,1994,1995,TA,TA,Gd,1097,1097,1097,1,TA,6,0,1995,2,672,2009,145000
38,5,1954,1990,TA,TA,TA,1297,1297,1297,1,TA,5,1,1954,2,498,2009,153000
39,5,1953,2007,TA,Gd,TA,1057,1057,1057,1,Gd,5,0,1953,1,246,2010,109000
40,4,1955,1955,TA,TA,NA,0,1152,1152,2,Fa,6,0,NaN,0,0,2008,82000
41,6,1965,1965,TA,TA,TA,1088,1324,1324,2,TA,6,1,1965,2,440,2006,160000
42,5,1959,1959,TA,Gd,TA,1350,1328,1328,1,TA,5,2,1959,1,308,2007,170000
43,5,1983,1983,TA,TA,Gd,840,884,884,1,Gd,5,0,1983,2,504,2007,144000
44,5,1975,1980,TA,TA,Gd,938,938,938,1,TA,5,0,1977,1,308,2008,130250
45,5,1959,1959,TA,TA,TA,1150,1150,1150,1,TA,6,0,1959,1,300,2006,141000
46,9,2005,2005,Ex,TA,Ex,1752,1752,1752,2,Ex,6,1,2005,2,576,2010,319900
47,7,2003,2003,Gd,TA,Ex,1434,1518,2149,1,Gd,6,1,2003,2,670,2009,239686
48,8,2006,2006,Gd,TA,Gd,1656,1656,1656,2,Gd,7,0,2006,3,826,2007,249700
49,4,1920,2008,TA,TA,TA,736,736,1452,2,TA,8,0,NaN,0,0,2009,113000
50,5,1966,1966,TA,TA,TA,955,955,955,1,TA,6,0,1966,1,386,2007,127000
51,6,1997,1997,TA,TA,Gd,794,794,1470,2,TA,6,0,1997,2,388,2007,177000
52,6,1934,1950,TA,TA,TA,816,816,1176,1,TA,6,1,1985,2,528,2006,114500
53,5,1963,1963,Fa,TA,Gd,816,816,816,1,TA,5,0,1963,2,516,2010,110000
54,9,1981,1987,Gd,TA,Ex,1842,1842,1842,0,Gd,5,1,1981,3,894,2006,385000
55,5,1955,1955,TA,TA,TA,384,1360,1360,1,TA,6,1,1962,2,572,2007,130000
56,6,1964,1964,TA,TA,TA,1425,1425,1425,2,TA,7,1,1964,2,576,2008,180500
57,8,1999,2000,Gd,TA,Gd,970,983,1739,2,Gd,7,0,1999,2,480,2009,172500
58,7,2004,2004,Gd,TA,Gd,860,860,1720,2,Gd,7,0,2004,2,565,2006,196500
59,10,2006,2006,Ex,TA,Ex,1410,1426,2945,3,Gd,10,1,2006,3,641,2006,438780
60,5,1972,1972,TA,TA,TA,780,780,780,1,TA,4,0,1973,1,352,2008,124900
61,6,2004,2004,TA,TA,Gd,1158,1158,1158,1,Gd,5,0,2006,2,576,2006,158000
62,5,1920,1996,TA,TA,TA,530,581,1111,1,Fa,6,0,1935,1,288,2007,101000
63,8,2006,2006,Gd,TA,Gd,1370,1370,1370,2,Gd,6,1,2006,2,484,2007,202500
64,7,1921,1950,TA,TA,TA,576,902,1710,2,TA,9,0,1990,2,480,2010,140000
65,7,1997,1998,TA,TA,Gd,1057,1057,2034,2,Gd,8,0,1998,2,645,2009,219500
66,8,2004,2005,Gd,TA,Ex,1143,1143,2473,2,Gd,9,1,2004,3,852,2007,317000
67,7,1970,1989,TA,TA,Gd,1947,2207,2207,2,TA,7,1,1970,2,576,2010,180000
68,7,2003,2003,Gd,TA,Gd,1453,1479,1479,2,Gd,7,0,2003,2,558,2007,226000
69,4,1945,1950,TA,Gd,TA,747,747,747,1,TA,4,0,1945,1,220,2010,80000
70,7,1953,1953,Gd,TA,TA,1304,1304,2287,2,TA,7,1,1953,2,667,2006,225000
71,7,1973,1973,TA,Gd,Gd,2223,2223,2223,2,TA,8,2,1973,2,516,2007,244000
72,4,1982,2006,TA,TA,TA,845,845,845,1,TA,4,0,1987,2,360,2007,129500
73,7,1998,1998,TA,TA,Gd,832,885,1718,2,TA,7,1,1998,2,427,2009,185000
74,5,1954,2003,TA,TA,TA,1086,1086,1086,1,TA,6,0,1989,2,490,2010,144900
75,3,1915,1950,Gd,Gd,Fa,840,840,1605,2,TA,8,0,1915,1,379,2010,107400
76,4,1973,1973,TA,TA,Gd,462,526,988,1,TA,5,0,1973,1,297,2009,91000
77,4,1956,1956,TA,TA,TA,952,952,952,1,TA,4,0,1956,1,283,2008,135750
78,5,1948,2001,TA,TA,TA,672,1072,1285,1,TA,6,0,1948,1,240,2008,127000
79,4,1968,1968,TA,TA,TA,1768,1768,1768,2,TA,8,0,NaN,0,0,2010,136500
80,5,1910,1981,TA,TA,TA,440,682,1230,1,TA,5,0,1966,2,440,2009,110000
81,6,1968,1968,TA,Gd,Gd,896,1182,2142,2,Gd,8,1,1968,1,509,2009,193500
82,6,1998,1998,TA,Gd,Ex,1237,1337,1337,2,TA,5,0,1998,2,405,2006,153500
83,8,2007,2007,TA,TA,Gd,1563,1563,1563,2,Gd,6,1,2007,3,758,2008,245000
84,5,1960,1960,TA,TA,TA,1065,1065,1065,1,TA,6,0,1974,2,461,2007,126500
85,7,1995,1996,TA,TA,Gd,384,804,1474,2,TA,7,1,1995,2,400,2009,168500
86,8,1991,1992,Gd,TA,Gd,1288,1301,2417,2,Gd,9,1,1991,2,462,2006,260000
87,6,2005,2005,Gd,TA,Gd,684,684,1560,2,Gd,6,1,2005,2,400,2009,174000
88,6,2009,2009,Gd,TA,Gd,612,612,1224,2,Gd,4,0,2009,2,528,2009,164500
89,3,1915,1982,Fa,Fa,TA,1013,1013,1526,1,Fa,6,0,NaN,0,0,2009,85000
90,4,1994,1995,TA,TA,Gd,990,990,990,1,TA,5,0,NaN,0,0,2007,123600
91,4,1950,1950,TA,TA,NA,0,1040,1040,1,TA,4,0,1950,2,420,2006,109900
92,5,1961,1961,TA,TA,TA,1235,1235,1235,1,TA,6,0,1961,2,480,2006,98600
93,5,1921,2006,TA,Gd,Gd,876,964,964,1,TA,5,0,1921,2,432,2009,163500
94,6,1910,1998,TA,TA,TA,1214,1260,2291,2,TA,9,1,1900,2,506,2007,133900
95,6,1997,1997,TA,Gd,Gd,824,905,1786,2,Gd,7,0,1997,2,684,2007,204750
96,6,1993,1993,Ex,Gd,Gd,680,680,1470,2,TA,6,1,1993,2,420,2009,185000
97,7,1999,1999,Gd,TA,Gd,1588,1588,1588,2,Gd,6,0,1999,2,472,2006,214000
98,4,1965,1965,TA,TA,TA,960,960,960,1,TA,6,0,1965,1,432,2007,94750
99,5,1920,1950,TA,TA,TA,458,835,835,1,TA,5,0,1920,1,366,2010,83000
100,4,1959,1959,TA,TA,TA,950,1225,1225,1,TA,6,0,NaN,0,0,2010,128950
101,6,1977,2001,TA,TA,TA,1610,1610,1610,2,Gd,6,2,1977,2,480,2010,205000
102,6,1985,1985,Gd,TA,Gd,741,977,1732,2,Gd,7,1,1985,2,476,2010,178000
103,5,1979,1979,TA,Fa,NA,0,1535,1535,2,TA,8,0,1979,2,410,2009,118964
104,7,2009,2009,TA,TA,Gd,1226,1226,1226,2,Gd,6,0,2009,3,740,2010,198900
105,7,1931,1950,TA,Fa,TA,1040,1226,1818,1,TA,7,2,1951,1,240,2007,169500
106,8,2003,2004,Gd,TA,Ex,1053,1053,1992,2,Gd,9,1,2003,2,648,2008,250000
107,4,1885,1995,TA,TA,Fa,641,1047,1047,1,TA,6,0,1954,1,273,2007,100000
